"survived","pclass","sex","age","sibsp","parch","cabin","embarked","fare"
1,1,"female",48,1,0,"A16","C",39.6
1,1,"female",16,0,1,"B18","C",57.9792
1,1,"female",44,0,1,"B18","C",57.9792
1,1,"female",17,1,0,"B20","S",57
1,1,"female",36,0,2,"B22","S",71
1,1,"female",38,0,0,"B28","Unknown",80
1,1,"female",62,0,0,"B28","Unknown",80
1,1,"female",43,0,1,"B3","S",211.3375
1,1,"female",24,0,0,"B35","C",69.3
1,1,"female",24,0,0,"B35","C",69.3
1,1,"female",22,0,2,"B39","C",49.5
1,1,"female",44,0,0,"B4","C",27.7208
1,1,"female",19,0,0,"B42","S",30
1,1,"female",19,1,0,"B49","C",91.0792
1,1,"female",15,0,1,"B5","S",211.3375
1,1,"female",29,0,0,"B5","S",211.3375
1,1,"female",18,2,2,"B57 B59 B63 B66","C",262.375
1,1,"female",21,2,2,"B57 B59 B63 B66","C",262.375
1,1,"female",50,0,1,"B58 B60","C",247.5208
1,1,"female",52,1,1,"B69","S",93.5
1,1,"female",30,0,0,"B73","S",93.5
1,1,"female",30,0,0,"B77","S",86.5
1,1,"female",33,0,0,"B77","S",86.5
1,1,"female",29.7,1,0,"B78","C",146.5208
1,1,"female",16,0,0,"B79","S",86.5
1,1,"female",58,0,0,"B80","C",146.5208
1,1,"female",14,1,2,"B96 B98","S",120
1,1,"female",36,1,2,"B96 B98","S",120
1,1,"female",53,2,0,"C101","S",51.4792
1,1,"female",58,0,0,"C103","S",26.55
1,1,"female",35,1,0,"C123","S",53.1
1,1,"female",58,0,1,"C125","S",153.4625
1,1,"female",40,0,0,"C125","S",153.4625
1,1,"female",29.7,1,0,"C126","S",52
1,1,"female",22,1,0,"C2","S",66.6
0,1,"female",2,1,2,"C22 C26","S",151.55
0,1,"female",25,1,2,"C22 C26","S",151.55
1,1,"female",23,3,2,"C23 C25 C27","S",263
1,1,"female",24,3,2,"C23 C25 C27","S",263
1,1,"female",36,0,0,"C32","C",135.6333
1,1,"female",38,0,0,"C45","C",227.525
0,1,"female",50,0,0,"C49","C",28.7125
1,1,"female",56,0,1,"C50","C",83.1583
1,1,"female",24,0,0,"C54","C",83.1583
1,1,"female",18,1,0,"C62 C64","C",227.525
1,1,"female",17,1,0,"C65","C",108.9
1,1,"female",39,1,1,"C68","C",110.8833
1,1,"female",31,0,2,"C7","S",164.8667
1,1,"female",33,1,0,"C78","Q",90
1,1,"female",35,1,0,"C83","S",83.475
1,1,"female",38,1,0,"C85","C",71.2833
1,1,"female",24,0,0,"C90","C",49.5042
1,1,"female",29.7,1,0,"C92","C",89.1042
1,1,"female",35,1,0,"C93","S",90
1,1,"female",35,0,0,"C99","S",135.6333
1,2,"female",36,0,0,"D","S",13
1,2,"female",23,0,0,"D","C",13.7917
1,1,"female",51,1,0,"D11","S",77.9583
1,1,"female",32,0,0,"D15","C",76.2917
1,1,"female",49,0,0,"D17","S",25.9292
1,1,"female",48,0,0,"D17","S",25.9292
1,1,"female",54,1,0,"D20","C",78.2667
1,1,"female",52,1,0,"D20","C",78.2667
1,1,"female",29.7,1,0,"D21","S",51.8625
1,1,"female",16,0,1,"D28","S",39.4
1,1,"female",49,1,0,"D33","C",76.7292
1,1,"female",47,1,1,"D35","S",52.5542
1,1,"female",31,1,0,"D36","C",113.275
1,1,"female",23,1,0,"D36","C",113.275
1,1,"female",60,1,0,"D37","C",75.25
1,1,"female",19,0,2,"D47","S",26.2833
1,1,"female",63,1,0,"D7","S",77.9583
1,1,"female",21,0,0,"D9","S",77.9583
1,2,"female",32.5,0,0,"E101","S",13
1,2,"female",29.7,0,0,"E101","Q",12.35
1,2,"female",27,0,0,"E101","S",10.5
1,3,"female",27,0,1,"E121","S",12.475
1,1,"female",29.7,0,1,"E33","S",55
1,1,"female",22,0,1,"E33","S",55
1,1,"female",40,1,1,"E34","C",134.5
1,1,"female",30,0,0,"E36","C",56.9292
1,1,"female",41,0,0,"E40","C",134.5
1,1,"female",39,1,0,"E44","S",55.9
1,1,"female",39,1,1,"E49","C",83.1583
1,1,"female",39,1,1,"E67","S",79.65
1,1,"female",18,0,2,"E68","S",79.65
0,2,"female",57,0,0,"E77","S",10.5
1,1,"female",33,1,0,"E8","S",53.1
1,3,"female",29.7,1,1,"F E69","C",22.3583
1,2,"female",29,0,0,"F33","S",10.5
1,2,"female",24,0,0,"F33","S",13
1,2,"female",34,0,0,"F33","S",10.5
1,2,"female",4,2,1,"F4","S",39
1,3,"female",4,1,1,"G6","S",16.7
0,3,"female",2,0,1,"G6","S",10.4625
0,3,"female",29,1,1,"G6","S",10.4625
1,3,"female",24,0,2,"G6","S",16.7
1,3,"female",26,0,0,"Unknown","S",7.925
1,3,"female",27,0,2,"Unknown","S",11.1333
1,2,"female",14,1,0,"Unknown","C",30.0708
0,3,"female",14,0,0,"Unknown","S",7.8542
1,2,"female",55,0,0,"Unknown","S",16
0,3,"female",31,1,0,"Unknown","S",18
1,3,"female",29.7,0,0,"Unknown","C",7.225
1,3,"female",15,0,0,"Unknown","Q",8.0292
0,3,"female",8,3,1,"Unknown","S",21.075
