survived;pclass;sex;age;sibsp;parch;embarked;fare_per_customer;embarked_remapped;cabin_remapped
0;1;0;36;0;0;1;40,13;1;1
0;1;0;29,7;0;0;2;52;2;1
1;1;1;48;1;0;1;19,8;1;1
0;1;0;29,7;0;0;2;26;2;1
1;1;0;49;1;0;1;28,46;1;1
1;1;0;80;0;0;2;30;2;1
0;1;0;31;0;0;2;50,5;2;1
1;1;0;56;0;0;1;35,5;1;1
1;1;0;40;0;0;1;31;1;1
0;1;0;29,7;0;0;2;50;2;1
1;1;0;4;0;2;2;27,29;2;1
0;1;0;39;0;0;2;0;2;1
0;1;0;71;0;0;1;34,65;1;1
1;1;0;28;0;0;2;35,5;2;1
0;1;0;56;0;0;1;30,7;1;1
1;1;0;35;0;0;1;512,33;1;1
0;1;0;29,7;0;0;2;0;2;1
1;1;1;16;0;1;1;28,99;1;1
1;1;1;44;0;1;1;28,99;1;1
0;1;0;61;0;0;2;33,5;2;1
1;1;1;17;1;0;2;28,5;2;1
1;1;0;31;1;0;2;28,5;2;1
1;1;1;36;0;2;2;23,67;2;1
0;1;0;70;1;1;2;23,67;2;1
1;1;1;38;0;0;0;80;0;1
1;1;1;62;0;0;0;80;0;1
1;1;1;43;0;1;2;105,67;2;1
0;1;0;65;0;1;1;30,99;1;1
1;1;1;24;0;0;1;69,3;1;1
1;1;1;24;0;0;1;69,3;1;1
0;1;0;58;0;0;1;29,7;1;1
0;1;0;45;0;0;2;26,55;2;1
1;1;1;22;0;2;1;16,5;1;1
1;1;1;44;0;0;1;27,72;1;1
1;1;0;60;1;1;1;26,4;1;1
1;1;1;19;0;0;2;30;2;1
1;1;1;19;1;0;1;45,54;1;1
1;1;0;25;1;0;1;45,54;1;1
1;1;1;15;0;1;2;105,67;2;1
1;1;1;29;0;0;2;211,34;2;1
1;1;0;32;0;0;1;30,5;1;1
1;1;1;52;1;1;2;31,17;2;1
0;1;0;31;1;0;2;26;2;1
1;1;1;30;0;0;2;93,5;2;1
1;1;1;30;0;0;2;86,5;2;1
1;1;1;33;0;0;2;86,5;2;1
1;1;1;29,7;1;0;1;73,26;1;1
1;1;1;16;0;0;2;86,5;2;1
1;1;1;58;0;0;1;146,52;1;1
0;1;0;24;0;0;1;79,2;1;1
0;1;0;40;0;0;2;0;2;1
1;1;1;53;2;0;2;17,16;2;1
1;1;1;58;0;0;2;26,55;2;1
1;1;0;52;0;0;2;30,5;2;1
1;1;0;29,7;0;0;2;30,5;2;1
0;1;0;47;0;0;2;52;2;1
0;1;0;30;0;0;1;27,75;1;1
0;1;0;37;0;1;1;14,85;1;1
1;1;1;35;1;0;2;26,55;2;1
0;1;0;37;1;0;2;26,55;2;1
0;1;0;45,5;0;0;2;28,5;2;1
0;1;0;29,7;0;0;2;26,55;2;1
1;1;1;58;0;1;2;76,73;2;1
1;1;1;40;0;0;2;153,46;2;1
1;1;1;29,7;1;0;2;26;2;1
1;1;0;48;1;0;2;26;2;1
0;1;0;29,7;0;0;2;35;2;1
1;1;0;26;0;0;1;30;1;1
1;1;1;22;1;0;2;33,3;2;1
0;1;0;29;1;0;2;33,3;2;1
0;1;0;55;0;0;2;30,5;2;1
1;1;1;36;0;0;1;135,63;1;1
1;1;1;38;0;0;1;227,53;1;1
0;1;0;36;1;0;2;39,43;2;1
1;1;0;29,7;0;0;1;29,7;1;1
0;1;1;50;0;0;1;28,71;1;1
1;1;1;56;0;1;1;41,58;1;1
1;1;0;29,7;0;0;2;35,5;2;1
1;1;0;28;0;0;2;26,55;2;1
1;1;1;24;0;0;1;83,16;1;1
1;1;1;17;1;0;1;54,45;1;1
0;1;0;18;1;0;1;54,45;1;1
1;1;1;39;1;1;1;36,96;1;1
0;1;0;49;1;1;1;36,96;1;1
1;1;1;31;0;2;2;54,96;2;1
1;1;0;17;0;2;1;36,96;1;1
1;1;1;33;1;0;3;45;3;1
0;1;0;44;2;0;3;30;3;1
0;1;0;27;0;2;1;70,5;1;1
1;1;1;35;1;0;2;41,74;2;1
0;1;0;45;1;0;2;41,74;2;1
1;1;1;38;1;0;1;35,64;1;1
0;1;0;50;1;0;1;53,21;1;1
0;1;0;62;0;0;2;26,55;2;1
1;1;1;24;0;0;1;49,5;1;1
0;1;0;38;0;1;2;76,73;2;1
1;1;1;29,7;1;0;1;44,55;1;1
1;1;0;49;1;0;1;44,55;1;1
1;1;1;35;1;0;2;45;2;1
1;1;0;38;1;0;2;45;2;1
0;1;0;29,7;0;0;2;221,78;2;1
1;1;1;35;0;0;2;135,63;2;1
1;2;1;36;0;0;2;13;2;1
1;2;1;23;0;0;1;13,79;1;1
0;2;0;36;0;0;1;12,88;1;1
1;1;1;51;1;0;2;38,98;2;1
1;1;1;32;0;0;1;76,29;1;1
1;1;1;49;0;0;2;25,93;2;1
1;1;1;48;0;0;2;25,93;2;1
1;1;0;42;1;0;2;26,28;2;1
1;1;1;54;1;0;1;39,13;1;1
1;1;1;52;1;0;1;39,13;1;1
1;1;1;29,7;1;0;2;25,93;2;1
0;1;0;21;0;1;2;38,64;2;1
0;1;0;54;0;1;2;38,64;2;1
1;1;1;16;0;1;2;19,7;2;1
0;1;0;19;1;0;2;26,55;2;1
1;1;1;49;1;0;1;38,36;1;1
1;1;0;48;1;0;1;38,36;1;1
1;1;1;47;1;1;2;17,52;2;1
1;1;0;37;1;1;2;17,52;2;1
1;1;1;31;1;0;1;56,64;1;1
1;1;1;23;1;0;1;56,64;1;1
1;1;1;60;1;0;1;37,63;1;1
1;1;0;29,7;0;0;2;30;2;1
0;1;0;47;0;0;2;34,02;2;1
1;1;1;19;0;2;2;8,76;2;1
0;1;0;58;0;2;1;37,76;1;1
1;1;0;27;0;0;1;76,73;1;1
0;1;0;61;0;0;2;32,32;2;1
1;2;0;34;0;0;2;13;2;1
0;1;0;29;0;0;2;30;2;1
1;1;1;63;1;0;2;38,98;2;1
1;1;1;21;0;0;2;77,96;2;1
1;3;0;32;0;0;2;8,05;2;1
1;2;1;32,5;0;0;2;13;2;1
1;2;1;29,7;0;0;3;12,35;3;1
1;2;1;27;0;0;2;10,5;2;1
1;1;0;48;0;0;2;26,55;2;1
1;3;1;27;0;1;2;6,24;2;1
1;3;0;6;0;1;2;6,24;2;1
1;1;0;51;0;0;2;26,55;2;1
1;1;0;35;0;0;2;26,29;2;1
1;1;0;42;0;0;2;26,29;2;1
1;1;0;36;0;0;2;26,29;2;1
1;1;0;36;0;0;2;26,39;2;1
0;1;0;46;1;0;2;30,59;2;1
1;1;1;29,7;0;1;2;27,5;2;1
1;1;1;22;0;1;2;27,5;2;1
1;1;1;40;1;1;1;44,83;1;1
1;1;1;30;0;0;1;56,93;1;1
0;1;0;65;0;0;2;26,55;2;1
1;1;1;41;0;0;1;134,5;1;1
1;1;1;39;1;0;2;27,95;2;1
0;1;0;50;1;0;2;27,95;2;1
0;1;0;54;0;0;2;51,86;2;1
1;1;1;39;1;1;1;27,72;1;1
1;1;0;25;1;0;1;27,72;1;1
0;1;0;47;0;0;2;25,59;2;1
0;1;0;47;0;0;2;38,5;2;1
1;1;1;39;1;1;2;26,55;2;1
0;1;0;52;1;1;2;26,55;2;1
1;1;1;18;0;2;2;26,55;2;1
0;2;1;57;0;0;2;10,5;2;1
1;1;1;33;1;0;2;26,55;2;1
1;1;0;27;1;0;2;26,55;2;1
0;2;0;36,5;0;2;2;8,67;2;1
1;2;0;3;1;1;2;8,67;2;1
1;2;0;2;1;1;2;8,67;2;1
1;2;1;29;0;0;2;10,5;2;1
1;2;1;24;0;0;2;13;2;1
1;2;1;34;0;0;2;10,5;2;1
0;3;0;29,7;0;0;3;7,75;3;1
1;2;1;4;2;1;2;9,75;2;1
1;2;0;1;2;1;2;9,75;2;1
1;3;1;4;1;1;2;5,57;2;1
0;3;1;2;0;1;2;5,23;2;1
0;3;1;29;1;1;2;3,49;2;1
1;3;1;24;0;2;2;5,57;2;1
0;1;0;45;0;0;2;35,5;2;1
1;3;1;26;0;0;2;7,93;2;0
1;3;1;27;0;2;2;3,71;2;0
1;2;1;14;1;0;1;15,04;1;0
0;3;1;14;0;0;2;7,85;2;0
1;2;1;55;0;0;2;16;2;0
0;3;1;31;1;0;2;9;2;0
1;3;1;29,7;0;0;1;7,23;1;0
1;3;1;15;0;0;3;8,03;3;0
0;3;1;8;3;1;2;4,22;2;0
1;3;1;38;1;5;2;4,48;2;0
1;3;1;29,7;0;0;3;7,88;3;0
1;3;1;29,7;0;0;3;7,75;3;0
0;3;1;18;2;0;2;6;2;0
1;3;1;14;1;0;1;5,62;1;0
